Product Title,Price,% Off,Discount Code,Amazon_link,
Alelly Women’s Summer Cute High Waist Ruffle Skirt Floral Print Swing Beach Mini Skirt Green,$11.99,50%,50HKHMQH,https://www.amazon.com/promocode/AZZD1I6TCZ4BJ?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Womens Mens Slip on Fuzzy House Slippers Indoor Warm Faux Fur Lining Bedroom Shoes Slip Resistant Cozy Home Slippers Black Women Size 11-12 Men Size 9-10,$10.99,45%,459VUD27,https://www.amazon.com/promocode/A3FMNJBIODAZPX?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Reclaimed Wood Wallpaper Stick and Peel Wood Plank Self Adhesive Removable Wallpaper 17.7”x118” Rustic Vintage Reclaimed Distressed Wood Wallpaper for Furniture Renovation Vinyl Film,$4.13,54%,54XZOCSG,https://www.amazon.com/promocode/AA19608CDH4P2?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Music Sync LED Strip Light 40FT RGB Color Changing Dimmable LED Strip Lights Kits with 44 Key RF Remote (40FT),$14.79,60%,601EA1LC,https://www.amazon.com/promocode/A216RUADYOT3GE?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"INMUA Trampoline Sprinkler, Outdoor Water Play Sprinklers, Fun Water Park Summer Games Yard Sprinkler (10M/32.8ft)",$5.69,70%,70Q5O7YV,https://www.amazon.com/promocode/A1W2IR44NZ9M0O?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"FITORY Girls Dress Shoes, Glitter Mary Jane Ballet Flats Slip on with Bow for Little Kid Blue Size 3-3.5",$13.74,45%,45H1XDNE,https://www.amazon.com/promocode/A1NO9W8256TEL9?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Kids Jump Ropes, Unicorn Animals Jumping Rope for Kids, Adjustable Skipping Rope With Wooden Handle, Cotton Ropes, Fitness Equipment for Kids, Children, Students (2 Pack)",$6.45,62%,626RSID7,https://www.amazon.com/promocode/A1JZUHBVK8OHPH?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"EPARTSWIDE Mini Artificial Plants，Lavender Flowers Fake Plants,Plastic Plant in Burlap Farmhouse Decor for Bathroom Home Kitchen Office（White）",$5.19,60%,608OI3ZS,https://www.amazon.com/promocode/A2NA61O06APPDY?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
LittleBean Cat Scratching Post Cat Interactive Toys 2in1 Natural Sisal Cat Scratchers with Tracking Interactive Ball Toys for Indoor Cats,$14.49,50%,50WR4KH4,https://www.amazon.com/promocode/A31L5THGBJ63FM?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"WELLCOOL Outdoor Patio Furniture Covers Waterproof Heavy Duty Square Patio Table Cover Outdoor Dinning Table Chair Set Cover, 56L x 56W x 30H Inches",$7.98,80%,801S48GH,https://www.amazon.com/promocode/A19YNIQ2VW0DQF?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Bluecton Tactical Belt Mens Duty Strong Nylon Web No Holes Cut To Fit Plus Size Black For Police Casual Wear Belt Size 55”,$11.04,15%,15W2OX5K,https://www.amazon.com/promocode/A3FT2KEU8TOZLL?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"GIDERWEL Galaxy Projector Light,Star Projector Night Light with Bluetooth Music Speaker,Dimmable Car Atmosphere Lamp,Nebula Ceiling Light Projector for Bedroom,Car,Party Ambiance Lighting",$13.99,50%,508TNYQW,https://www.amazon.com/promocode/A25CR7NJW94RSZ?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
wartleves Picture Frame for Couples Bride Groom Gifts Wedding Gifts You Will Forever Be My Always Photo Holder for Boyfriend Girlfriend Husband Wife Fiance Fiancé,$7.49,75%,75XSLVEA,https://www.amazon.com/promocode/AGS7VMRMX5Z2M?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
